shopid	itemid	price	pitch	position	time	charge_price	buyable
1011000	1442004	24000	0	104	0	0	1000
1011000	1422004	20000	0	108	0	0	1000
1011000	1322008	12000	0	112	0	0	1000
1011000	1322007	6000	0	116	0	0	1000
1011000	1302007	3000	0	120	0	0	1000
1011000	1462000	30000	0	124	0	0	1000
1011000	1462003	12000	0	128	0	0	1000
1011000	1462002	8000	0	132	0	0	1000
1011000	1462001	4000	0	136	0	0	1000
1011000	1452000	20000	0	140	0	0	1000
1011000	1452001	10000	0	144	0	0	1000
1011000	1452003	6000	0	148	0	0	1000
1011000	1452002	3000	0	152	0	0	1000
1011001	1072064	30000	0	104	0	0	1000
1011001	1072018	30000	0	108	0	0	1000
1011001	1072056	15000	0	112	0	0	1000
1011001	1072055	15000	0	116	0	0	1000
1011001	1072054	15000	0	120	0	0	1000
1011001	1072012	15000	0	124	0	0	1000
1011001	1072068	9000	0	128	0	0	1000
1011001	1072067	9000	0	132	0	0	1000
1011001	1072026	9000	0	136	0	0	1000
1011001	1072025	9000	0	140	0	0	1000
1011001	1072061	4500	0	144	0	0	1000
1011001	1072060	4500	0	148	0	0	1000
1011001	1072016	4500	0	152	0	0	1000
1011001	1072059	1800	0	156	0	0	1000
1011001	1072015	1800	0	160	0	0	1000
1011001	1062006	13000	0	164	0	0	1000
1011001	1062002	9000	0	168	0	0	1000
1011001	1062004	3000	0	172	0	0	1000
1011001	1061052	44000	0	176	0	0	1000
1011001	1061051	44000	0	180	0	0	1000
1011001	1061050	44000	0	184	0	0	1000
1011001	1061026	9000	0	188	0	0	1000
1011001	1061025	9000	0	192	0	0	1000
1011001	1061024	9000	0	196	0	0	1000
1011001	1061059	5000	0	200	0	0	1000
1011001	1061058	5000	0	204	0	0	1000
1011001	1061006	5000	0	208	0	0	1000
1011001	1061057	3000	0	212	0	0	1000
1011001	1061009	3000	0	216	0	0	1000
1011001	1060059	44000	0	220	0	0	1000
1011001	1060058	44000	0	224	0	0	1000
1011001	1060057	44000	0	228	0	0	1000
1011001	1060056	44000	0	232	0	0	1000
1011001	1060005	14000	0	236	0	0	1000
1011001	1041056	50000	0	240	0	0	1000
1011001	1041055	50000	0	244	0	0	1000
1011001	1041054	50000	0	248	0	0	1000
1011001	1041035	15000	0	252	0	0	1000
1011001	1041034	15000	0	256	0	0	1000
1011001	1041033	15000	0	260	0	0	1000
1011001	1041032	15000	0	264	0	0	1000
1011001	1041028	9000	0	268	0	0	1000
1011001	1041027	9000	0	272	0	0	1000
1011001	1041013	9000	0	276	0	0	1000
1011001	1041063	5500	0	280	0	0	1000
1011001	1041062	5500	0	284	0	0	1000
1011001	1041008	5500	0	288	0	0	1000
1011001	1041061	3200	0	292	0	0	1000
1011001	1041007	3200	0	296	0	0	1000
1011001	1040070	50000	0	300	0	0	1000
1011001	1040069	50000	0	304	0	0	1000
1011001	1040068	50000	0	308	0	0	1000
1011001	1040067	50000	0	312	0	0	1000
1011001	1040025	15000	0	316	0	0	1000
1011001	1040024	15000	0	320	0	0	1000
1011001	1040023	15000	0	324	0	0	1000
1011001	1040022	15000	0	328	0	0	1000
1011001	1040003	9000	0	332	0	0	1000
1011001	1040011	5500	0	336	0	0	1000
1011001	1040007	5500	0	340	0	0	1000
1011001	1040071	3200	0	344	0	0	1000
1011001	1040008	3200	0	348	0	0	1000
1021000	1442004	24000	0	104	0	0	1000
1021000	1442007	12000	0	108	0	0	1000
1021000	1442006	8000	0	112	0	0	1000
1021000	1442000	3000	0	116	0	0	1000
1021000	1432001	7000	0	120	0	0	1000
1021000	1432000	3000	0	124	0	0	1000
1021000	1422004	20000	0	128	0	0	1000
1021000	1422006	10000	0	132	0	0	1000
1021000	1422003	10000	0	136	0	0	1000
1021000	1422002	6000	0	140	0	0	1000
1021000	1422000	3000	0	144	0	0	1000
1021000	1412006	45000	0	148	0	0	1000
1021000	1412000	22000	0	152	0	0	1000
1021000	1412002	10000	0	156	0	0	1000
1021000	1412001	3000	0	160	0	0	1000
1021000	1402008	22000	0	164	0	0	1000
1021000	1402000	12000	0	168	0	0	1000
1021000	1402001	3000	0	172	0	0	1000
1021000	1322014	40000	0	176	0	0	1000
1021000	1322004	22000	0	180	0	0	1000
1021000	1322002	10000	0	184	0	0	1000
1021000	1322000	6000	0	188	0	0	1000
1021000	1312005	40000	0	192	0	0	1000
1021000	1312003	20000	0	196	0	0	1000
1021000	1312001	6000	0	200	0	0	1000
1021000	1332010	22000	0	204	0	0	1000
1021000	1332008	10000	0	208	0	0	1000
1021000	1332006	7000	0	212	0	0	1000
1021000	1302008	40000	0	216	0	0	1000
1021000	1302003	20000	0	220	0	0	1000
1021000	1302006	10000	0	224	0	0	1000
1021000	1302002	10000	0	228	0	0	1000
1021000	1302005	6000	0	232	0	0	1000
1021000	1302007	3000	0	236	0	0	1000
1021001	1092000	6000	0	104	0	0	1000
1021001	1092005	4000	0	108	0	0	1000
1021001	1072011	15000	0	112	0	0	1000
1021001	1072047	10000	0	116	0	0	1000
1021001	1072046	10000	0	120	0	0	1000
1021001	1072007	10000	0	124	0	0	1000
1021001	1072050	5000	0	128	0	0	1000
1021001	1072009	5000	0	132	0	0	1000
1021001	1061020	14000	0	136	0	0	1000
1021001	1061019	14000	0	140	0	0	1000
1021001	1061015	14000	0	144	0	0	1000
1021001	1061018	9000	0	148	0	0	1000
1021001	1061017	9000	0	152	0	0	1000
1021001	1061016	9000	0	156	0	0	1000
1021001	1061023	3000	0	160	0	0	1000
1021001	1061014	3000	0	164	0	0	1000
1021001	1060019	38000	0	168	0	0	1000
1021001	1060018	38000	0	172	0	0	1000
1021001	1060017	38000	0	176	0	0	1000
1021001	1060016	38000	0	180	0	0	1000
1021001	1060060	14000	0	184	0	0	1000
1021001	1060030	14000	0	188	0	0	1000
1021001	1060011	14000	0	192	0	0	1000
1021001	1060029	9000	0	196	0	0	1000
1021001	1060010	9000	0	200	0	0	1000
1021001	1060027	5000	0	204	0	0	1000
1021001	1060009	5000	0	208	0	0	1000
1021001	1060028	3000	0	212	0	0	1000
1021001	1060008	3000	0	216	0	0	1000
1021001	1051013	60000	0	220	0	0	1000
1021001	1041024	16000	0	256	0	0	1000
1021001	1041023	16000	0	260	0	0	1000
1021001	1041022	16000	0	264	0	0	1000
1021001	1041021	9000	0	268	0	0	1000
1021001	1041020	9000	0	272	0	0	1000
1021001	1041019	9000	0	276	0	0	1000
1021001	1041064	3200	0	280	0	0	1000
1021001	1041014	3200	0	284	0	0	1000
1021001	1040026	40000	0	288	0	0	1000
1021001	1040021	40000	0	292	0	0	1000
1021001	1040041	16000	0	296	0	0	1000
1021001	1040016	16000	0	300	0	0	1000
1021001	1040040	16000	0	304	0	0	1000
1021001	1040039	9000	0	308	0	0	1000
1021001	1040012	9000	0	312	0	0	1000
1021001	1040037	5500	0	316	0	0	1000
1021001	1040009	5500	0	320	0	0	1000
1021001	1040038	3200	0	324	0	0	1000
1021001	1040015	3200	0	328	0	0	1000
